video_id,duration,rating,reason,error
37cc4fe62908ff291e7986fe7b073fff,5.12,3,"Both frames show the same person in the same light green embroidered top against a black background, wearing glasses and a microphone, with identical framing and lighting indicating continuous video footage from the same recording session.",
0c0f38fcfde73f554ba87666b7a0f370,2.67,3,"Both frames show the same crafting workspace with identical white wooden surface, measuring tools, and the same patterned paper being held and measured, depicting continuous activity of measuring and examining the material.",
87f35f52d9383abb3842dd9ecc356094,28.13,3,Both frames show the same blue car with tinted windows from different angles - the first a wide exterior shot and the second a close-up of the interior door/window detail - depicting continuous inspection or demonstration of the same vehicle.,
7a70181f69d9bc4c326d7bc4c4b5273b,5.30,3,"Both frames show the same person in the same podcast studio setting wearing identical clothing and headphones, with the same background photos and setup, depicting continuous activity during a podcast recording.",
6f93ea66dceaf870ddb75fc044ebac54,11.68,3,"Both frames show the same interior space with identical furniture, TV setup, and architectural features, with the primary difference being the camera position and the presence/position of people, indicating continuous action in the same scene.",
4568b2da8351c56776b7afd531637b1a,18.08,3,"Both frames show the same person at the same podium in the same location, with only a slight change in hand gesture indicating continuous speech within the same scene.",
33a753338bc143f3de95b943c7b0edef,3.08,3,"Both frames show the same person holding the same sports card in a protective case from different angles, depicting continuous examination of the card in the same location.",
2be781393a78530b8836253443d1196c,2.14,3,"Both frames show the same person in the same recording studio setup with identical equipment, lighting, and background, depicting a continuous moment where the subject transitions from a neutral expression to a smile.",
d19f5ced57c18761a2d2654b48a70a33,4.84,3,"Both frames show the same crafting workspace with the same materials (decorative papers, stamps, ruler) and depict continuous hand activity working with paper items, representing a plausible continuous video segment.",
0f59fd722602d8daf87cbc60f2ee48fc,24.80,3,"Both frames show the same three people seated on a stage in the same positions with identical background lighting and set design, representing continuous discussion during the same panel or talk show segment.",
0e90af261f4fce7d5eabd9d4f1e4d537,1.00,3,"Both frames show the same meeting room with identical participants, Israeli flags, and official setup, with the man in the dark suit adjusting his posture between frames, indicating continuous action in the same scene.",
2ee2ee8f11fdc4e2fa4473f40fbabb2b,5.38,3,"Both frames show the same woman speaking at a microphone during a podcast recording in the same studio setting with identical backdrop and equipment, depicting continuous action.",
6d348f59ef8394dd491795c2b40bc3f6,8.68,3,"Both frames show the same person in the same recording studio setup with identical microphone, headphones, and background, depicting continuous action during a podcast or interview recording.",
74f48127364950eb5ec687664ac68513,3.25,3,"Both frames show the same person in the same podcast studio setting with identical background photos, microphone setup, and clothing, representing continuous action during a podcast recording.",
f7a6d4b5be891f73cede43bc969f2bee,2.70,3,"Both frames show the same person in the same location with identical background elements, clothing, and setting, depicting continuous speaking/hand gestures during what appears to be a single video segment.",
0ccffc292d99955b860199ebf8138a6b,1.00,3,"Both frames show the same person in the same podcast studio setting with identical background photos, microphone, headphones, and clothing, depicting continuous activity during a recording session.",
634d0fb7679f325805d53332cb24f536,5.34,3,"Both frames show the same person in the same podcast studio setting with identical background photos and equipment, depicting continuous activity with only minor head position changes.",
d02c279a049b19bf0eb7c496073dc869,45.16,3,"Both frames show the same T-S diagram with identical visual elements and layout, with the second frame simply adding calculated values and explanatory text to support the same thermodynamic analysis.",
6e0dc9c33f2b7e47e266a7074fe3952c,1.21,3,"Both frames show the same person in the same podcast studio setting wearing identical clothing, with the same microphone and headphones, depicting continuous action during a recording session.",
de79b86123d88b4182fda2253d33e01f,79.80,3,"Both frames show the same television broadcast of 'Plus Politics' with the same host and guest (Olusola Oyekanmi) in the same studio setting, with only a zoom/transition effect between them indicating continuous broadcast action.",
897098765cbaaaddc5ff9a32106c2458,1.17,3,"Both frames show the same person at a podcast/radio station in the same setting, with identical clothing, positioning, and microphone setup, depicting continuous recording activity.",
02d19c87e5708eac24d44e3036d23a26,1.60,3,"Both frames show the same person speaking at a podium with Tamil text backdrop in the same location, representing continuous speech with natural camera angle changes.",
4f4b58e3e79881ecff1b165ae43ea119,0.93,3,"Both frames show the same dashboard/visor area of a vehicle with identical positioning, lighting, and objects, depicting continuous action as the visor is being adjusted or manipulated.",
d1e02143cf38b3e4a6883e8a7b520528,2.40,3,"Both frames show the same white Corvette from slightly different camera angles, maintaining the same location and subject with natural camera movement typical of a continuous video clip.",
a9132ded41512938ed81393f6a5c0883,1.37,3,"Both frames show the same person in the same recording studio setup with identical microphone, headphones, and acoustic foam background, depicting continuous natural expression changes during a podcast or recording session.",
8941c23542e82cef0325718c31c0b59e,1.20,3,"Both frames show the same child in the same striped shirt at the same location with the yellow patterned fabric backdrop, depicting continuous movement or action in the same scene.",
4d34c4c71b3ccf354c11cce0b2a89826,0.79,3,"Both frames show the same person in the same studio setting at a podcast desk with identical background elements, representing continuous action during the same recording session.",
6b89f41bacdad5cdd5683aa6f0b13694,5.41,3,"Both frames show the same vehicle (dark-colored van/truck) with interior details visible, depicting continuous documentation of the same vehicle from different angles/closer inspection.",
a76388f94fcf7b1a82230da5fdf2101c,2.32,3,"Both frames show the same person in the same indoor location with identical camera positioning and continuous gesture, representing a natural progression within the same speaking moment.",
338a4b591ae29980054e0e2a6001201c,25.39,3,"Both frames show the same man at the same conference event (BigDataSV 2015) with identical background branding and setup, depicting continuous speaking activity.",
2e800d7194a9adfc1b13997a9295c52b,11.55,3,"Both frames show the same person in the same clothing at the same microphone in the same studio setting with identical background photos and merchandise displays, depicting continuous podcast recording activity.",
bc5c5798d93d0c76c0ccb5dda1a33990,3.00,3,"Both frames show the same video conference call with the same five participants (Jerry Michalski, Howard Silverman, Gene Bellinger, Nadia T) in the same positions, representing continuous action throughout the clip.",
3062116cb4f43bb7699ed6115a1c7c04,20.88,3,"Both frames show the same television broadcast segment with the same host, guest, set layout, and graphics, depicting continuous action from the same interview scene.",
b2237a6cd490ed9eeed00c4c0a5b5649,5.12,3,"Both frames show the same person in the same light green embroidered top against a black background in what appears to be the same interview or recording session, with only subtle differences in head position and eye gaze indicating natural continuous movement.",
aacd177774e8c0068b88804652834fef,16.24,3,"Both frames show the same tutorial slide on cryogenic engineering with identical layout, table, diagram, and formula, with only the final calculation step revealed in the second frame, representing continuous content progression.",
834574126c393f332883b945789ed135,7.57,3,"Both frames show the same speaker at the same podium in the same room with the same audience members present, depicting continuous action during a presentation.",
1579477cdd54b5abc93c7ef31a675183,7.63,3,"Both frames show the same person in the same podcast studio setting with identical background elements, lighting, and positioning, depicting continuous activity during a broadcast.",
e2f4130bc916a8cbaec51892275627b9,6.30,3,"Both frames show the same person speaking into a microphone at the same podcast setup with identical background branding and studio context, depicting continuous action during the same interview/recording session.",
3e36dd3b94e447ca2ec1cd87fde6c8b9,1.10,3,"Both frames show the same urban street with identical buildings, parked cars, and tree-lined avenue, depicting continuous action from a stationary or slowly moving camera position.",
bb605e9e9e516e60519e7fdfa750f317,2.29,3,"Both frames show the same person at the same podcast/broadcast station with identical positioning, clothing, headphones, and microphone setup in the same studio environment.",
27eccdbe2c6fd6519842c2e9cb022c58,1.60,1,"The frames depict entirely different visual compositions and subjects - the first shows an abstract radial light burst pattern, while the second shows a stylized portrait figure surrounded by hexagonal elements, indicating different scenes or content with no visual continuity.",
90f0b2d5f57352c9d919a72e85171381,9.28,3,"Both frames are from the same gymnasium with identical blue and white walls, wooden flooring, and basketball hoops, showing continuous action with the camera moving from a wide shot to a close-up of a person in the space.",
b35ae07da479c133785b4c541a5538c8,3.97,3,"Both frames show the same person performing martial arts with a staff in the same ballroom setting with identical audience seating and lighting, depicting continuous action from different moments during the same performance.",
